time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:26:35.088703,0,67163,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183923.0,19,T
2023/02/06/07:26:36.065915,0,67164,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183924.0,19,T
2023/02/06/07:26:37.090727,0,67165,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183925.0,19,T
2023/02/06/07:26:38.090781,0,67166,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183926.0,19,T
2023/02/06/07:26:39.066019,0,67167,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183927.0,19,T
2023/02/06/07:26:40.066713,0,67168,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183928.0,19,T
2023/02/06/07:26:41.068120,0,67169,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183929.0,19,T
2023/02/06/07:26:42.067699,0,67170,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183930.0,19,T
2023/02/06/07:26:43.067264,0,67171,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183931.0,19,T
2023/02/06/07:26:44.066408,0,67172,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183932.0,19,T
2023/02/06/07:26:45.067257,0,67173,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183933.0,19,T
2023/02/06/07:26:46.067239,0,67174,0,GPS1_FRAME,42.33908,-71.08467166666667,8.2,1.0,328268.46848519915,4689529.677552777,183934.0,19,T
2023/02/06/07:26:47.066008,0,67175,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183935.0,19,T
2023/02/06/07:26:48.065870,0,67176,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183936.0,19,T
2023/02/06/07:26:49.067739,0,67177,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183937.0,19,T
2023/02/06/07:26:50.066844,0,67178,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183938.0,19,T
2023/02/06/07:26:51.066902,0,67179,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183939.0,19,T
2023/02/06/07:26:52.067252,0,67180,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183940.0,19,T
2023/02/06/07:26:53.067772,0,67181,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183941.0,19,T
2023/02/06/07:26:54.067129,0,67182,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183942.0,19,T
2023/02/06/07:26:55.068539,0,67183,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183943.0,19,T
2023/02/06/07:26:56.066343,0,67184,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183944.0,19,T
2023/02/06/07:26:57.067475,0,67185,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183945.0,19,T
2023/02/06/07:26:58.067434,0,67186,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183946.0,19,T
2023/02/06/07:26:59.066127,0,67187,0,GPS1_FRAME,42.33908,-71.08467166666667,8.1,1.0,328268.46848519915,4689529.677552777,183947.0,19,T
