time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:38:22.492101,0,67882,0,GPS1_FRAME,42.33923,-71.08491,9.5,1.0,328249.2425935506,4689546.815299847,185122.0,19,T
2023/02/06/07:38:23.492571,0,67883,0,GPS1_FRAME,42.339235,-71.084915,9.5,1.0,328248.84429970983,4689547.380611451,185123.0,19,T
2023/02/06/07:38:24.493319,0,67884,0,GPS1_FRAME,42.339238333333334,-71.08492,9.5,1.0,328248.44146811846,4689547.760852435,185124.0,19,T
2023/02/06/07:38:25.520427,0,67885,0,GPS1_FRAME,42.339241666666666,-71.08492666666666,9.5,1.0,328247.9013341757,4689548.1444600215,185125.0,19,T
2023/02/06/07:38:26.492424,0,67886,0,GPS1_FRAME,42.339245,-71.08493166666666,9.5,1.0,328247.49850267963,4689548.524701063,185126.0,19,T
2023/02/06/07:38:27.519723,0,67887,0,GPS1_FRAME,42.33925,-71.08493666666666,9.5,1.0,328247.1002090819,4689549.090012773,185127.0,19,T
2023/02/06/07:38:28.493575,0,67888,0,GPS1_FRAME,42.33925333333333,-71.08494333333333,9.5,1.0,328246.56007531495,4689549.473620471,185128.0,19,T
2023/02/06/07:38:29.493458,0,67889,0,GPS1_FRAME,42.33925833333333,-71.08494833333333,9.5,1.0,328246.1617818498,4689550.0389322415,185129.0,19,T
2023/02/06/07:38:30.492634,0,67890,0,GPS1_FRAME,42.339261666666665,-71.08495333333333,9.5,0.9,328245.75895055744,4689550.419173389,185130.0,19,T
2023/02/06/07:38:31.508261,0,67891,0,GPS1_FRAME,42.339265,-71.08496,9.5,0.9,328245.2188169684,4689550.802781194,185131.0,19,T
2023/02/06/07:38:32.520214,0,67892,0,GPS1_FRAME,42.33926833333334,-71.084965,9.5,0.9,328244.8159857732,4689551.183022401,185132.0,19,T
2023/02/06/07:38:33.516541,0,67893,0,GPS1_FRAME,42.33927166666667,-71.08497,9.5,1.0,328244.4131546202,4689551.563263632,185133.0,19,T
2023/02/06/07:38:34.492426,0,67894,0,GPS1_FRAME,42.339275,-71.084975,9.5,0.9,328244.01032351307,4689551.943504887,185134.0,19,T
2023/02/06/07:38:35.492181,0,67895,0,GPS1_FRAME,42.33928,-71.08498,9.4,0.9,328243.6120303994,4689552.508816812,185135.0,19,T
2023/02/06/07:38:36.523400,0,67896,0,GPS1_FRAME,42.339283333333334,-71.084985,9.4,0.9,328243.20919939165,4689552.889058116,185136.0,19,T
2023/02/06/07:38:37.493358,0,67897,0,GPS1_FRAME,42.339286666666666,-71.08499,9.4,0.9,328242.80636842793,4689553.269299448,185137.0,19,T
2023/02/06/07:38:38.493383,0,67898,0,GPS1_FRAME,42.33929,-71.084995,9.4,0.9,328242.4035375082,4689553.649540801,185138.0,19,T
